record_id,operational_status,organization_type,name,acronym,name_alphabetized,url,alternate_or_former_names,alternate_or_former_acronyms,principal_officer_title,principal_officer_full_name,principal_officer_first_name,principal_officer_last_name,principal_officer_contact_url,reports_to,in_org_chart,listed_in_nyc_gov_agency_directory
NYC_GOID_000151,Active,Mayoral Agency,Department of Records and Information Services,DORIS,"Records and Information Services, Department of",https://www.nyc.gov/site/records/index.page,,DoRIS,Commissioner,Shawn(ta) Smith-Cruz,Shawn(ta),Smith-Cruz,https://www.nyc.gov/site/records/about/email-the-commissioner.page,Deputy Mayor for Operations,true,true
NYC_GOID_000116,Active,Advisory or Regulatory Organization,Community Action Board at the NYC Department of Youth and Community Development,CAB,Community Action Board at the NYC Department of Youth and Community Development,https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page,,,,,,,,,false,false
NYC_GOID_100036,Active,Mayoral Office,Mayor's Office to Combat Antisemitism,,"Combat Antisemitism, Mayor's Office to",https://www.nyc.gov/main/combat-antisemitism,,,Executive Director,Phylisa Wisdom,,,https://www.nyc.gov/main/forms/contact-combat-antisemitism,,true,true
NYC_GOID_000042,Active,Advisory or Regulatory Organization,Campaign Finance Board,CFB,Campaign Finance Board,https://www.nyccfb.info/,,,Executive Director,Paul S. Ryan,Paul,Ryan,http://www.nyccfb.info/about/contact,,false,true
NYC_GOID_000236,Active,Advisory or Regulatory Organization,Landmarks Preservation Commission,LPC,Landmarks Preservation Commission,https://www1.nyc.gov/site/lpc/index.page,,,Executive Director,Lisa Kersavage,Lisa,Kersavage,https://www.nyc.gov/site/lpc/about/contact-us.page,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000190,Active,Advisory or Regulatory Organization,Financial Information Services Agency,FISA,Financial Information Services Agency,https://www.nyc.gov/site/opa/about/opa-history.page,,,Executive Director,Neil Matthew,Neil,Matthew,,Office of the Mayor;Office of the New York City Comptroller,true,true
NYC_GOID_000346,Active,Mayoral Agency,Office of Administrative Trials and Hearings,OATH,"Administrative Trials and Hearings, Office of",https://www.nyc.gov/site/oath/index.page,,,Commissioner and Chief Administrative Law Judge,Vilda Vera Mayuga,Vilda,Mayuga,https://www.nyc.gov/site/oath/about/contact-the-commissioner-online-form.page,Chief Counsel to the Mayor and City Hall,true,true
NYC_GOID_000308,Active,Public Benefit or Development Organization,New York City Municipal Water Finance Authority,NYW,"Municipal Water Finance Authority, New York City",https://www.nyc.gov/site/nyw/index.page,,,Chief Executive Officer,David Womack,David,Womack,https://www.nyc.gov/site/nyw/about/contact.page,,false,false
NYC_GOID_000445,Active,Public Benefit or Development Organization,Tobacco Settlement Asset Securitization Corporation,TSASC,Tobacco Settlement Asset Securitization Corporation,https://www1.nyc.gov/site/tsasc/index.page,,,President,David Womack,David,Womack,,,false,false
NYC_GOID_000109,Active,Advisory or Regulatory Organization,Commission to Combat Police Corruption,CCPC,"Combat Police Corruption, Commission to",https://www.nyc.gov/site/ccpc/index.page,,,Executive Director,,,,https://www.nyc.gov/site/ccpc/about/email-the-chairperson.page,Chief Counsel to the Mayor and City Hall,true,true
NYC_GOID_000000,Active,Division,NYC311,311,NYC311,https://portal.311.nyc.gov/,311,,Deputy Commissioner,Joseph Morrisroe,Joseph,Morrisroe,,Office of Technology and Innovation,true,true
NYC_GOID_000226,Active,Mayoral Office,Office of Intergovernmental Affairs,MOIGA,"Intergovernmental Affairs, Office of",https://www.nyc.gov/site/intergovernmental/index.page,Mayor's Office of Office of Intergovernmental Affairs,IGA,Director of Intergovernmental Affairs,Jahmila Edwards,Jahmila,Edwards,https://www.nyc.gov/site/intergovernmental/about/contact-moiga.page,Chief of Staff,true,true
NYC_GOID_000238,Active,Mayoral Agency,New York City Law Department,LAW,"Law Department, New York City",https://www.nyc.gov/site/law/index.page,Law Department;Office of the Corporation Counsel,Law;Law Dept.,Corporation Counsel,Steven Banks,Steven,Banks,https://www.nyc.gov/site/law/contact/contact-nyc-law-department.page,Mayor,true,true
NYC_GOID_000284,Active,Mayoral Office,Mayor's Office for People with Disabilities,MOPD,"People with Disabilities, Mayor's Office for",https://www.nyc.gov/site/mopd/index.page,,,Commissioner,Nisha Agarwal,Nisha,Agarwal,https://www.nyc.gov/site/mopd/about/email-the-commissioner.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000240,Active,Advisory or Regulatory Organization,New York City Loft Board,LOFT,"Loft Board, New York City",https://www.nyc.gov/site/loftboard/index.page,,,Executive Director / General Counsel,"Martha Cruz, Esq",Martha,Cruz,https://www.nyc.gov/site/loftboard/about/contact-us.page,,false,true
NYC_GOID_100019,Active,Mayoral Office,Mayor's Office of Faith-Based and Community Partnerships,OFCP,"Faith-Based and Community Partnerships, Mayor's Office of",https://www.nyc.gov/site/cfcp/index.page,,,Executive Director,Pastor Gilford Monrose,Gilford,Monrose,,Mayor's Office of Mass Engagement,false,true
NYC_GOID_000083,Active,Nonprofit Organization,Queens Botanical Garden,QBG,"Botanical Garden, Queens",https://queensbotanical.org/,,,Executive Director,Evie Hantzopoulos,Evie,Hantzopoulos,,,false,false
NYC_GOID_000356,Active,Mayoral Office,Mayor's Office of Community Mental Health,OCMH,"Community Mental Health, Mayor's Office of",https://mentalhealth.cityofnewyork.us/,,OCMH,Director,Eva Wong,Eva,Wong,https://mentalhealth.cityofnewyork.us/contact-us,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000476,Active,Public Benefit or Development Organization,Metropolitan Transportation Authority,MTA,Metropolitan Transportation Authority,https://new.mta.info/,,,Chair and Chief Executive Officer,Janno Lieber,Janno,Lieber,,,false,false
NYC_GOID_000448,Active,Public Benefit or Development Organization,Trust for Cultural Resources,TCR,"Cultural Resources, Trust for",https://www.tcrnyc.org/,,,,,,,,,false,false
NYC_GOID_000201,Active,Advisory or Regulatory Organization,Get Stuff Built Advisory Board,,Get Stuff Built Advisory Board,https://www.nyc.gov/site/getstuffbuilt/initiatives/get-stuff-built.page,,,Executive Director,Robert Holbrook,Robert,Holbrook,,,false,false
NYC_GOID_000320,Active,Advisory or Regulatory Organization,New York City Housing Authority Board,,"Housing Authority Board, New York City",https://www1.nyc.gov/site/nycha/about/nycha-board.page,,,,,,,,,false,false
NYC_GOID_000338,Active,Advisory or Regulatory Organization,Nonprofit Advisory Council,,Nonprofit Advisory Council,https://www.nyc.gov/site/nonprofits/about/advisory-council.page,,,,,,,,,false,false
NYC_GOID_000137,Active,Mayoral Agency,Department of City Planning,DCP,"City Planning, Department of",https://www.nyc.gov/site/planning/index.page,,,Director,Daniel Garodnick,Daniel,Garodnick,https://www.nyc.gov/site/planning/about/email-the-director.page,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000102,Active,Division,Civic Engagement Commission,CEC,Civic Engagement Commission,https://www.nyc.gov/site/civicengagement/index.page,,,Chair and Executive Director,Sarah Sayeed,Sarah,Sayeed,https://www.nyc.gov/site/civicengagement/about/contact.page,Mayor's Office of Mass Engagement,true,true
NYC_GOID_000158,Active,Mayoral Agency,Department of Veterans' Services,DVS,"Veterans' Services, Department of",https://www.nyc.gov/site/veterans/index.page,,,Commissioner,Yesenia Mata,Yesenia,Mata,https://www.nyc.gov/site/veterans/contact/contact.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_100004,Active,Division,NYC HER Future,,NYC HER Future,https://www.nyc.gov/content/nycherfuture/pages/,,,Executive Director,Nathifa Forde,Nathifa,Forde,https://www.nyc.gov/content/nycherfuture/pages/get-involved,Mayor's Office of Equity and Racial Justice,true,true
NYC_GOID_000310,Active,Nonprofit Organization,New York City Tourism + Conventions,,"Tourism + Conventions, New York City",https://www.nyctourism.com/,NYC & Company,,President and CEO,Julie Coker,Julie,Coker,,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000024,Active,Advisory or Regulatory Organization,Board of Health,,"Health, Board of",https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,,,,,,,,,false,false
NYC_GOID_000050,Active,Advisory or Regulatory Organization,Charter Revision Commission,,Charter Revision Commission,https://www.nyc.gov/site/charter/index.page,,,Executive Director,Alec Schierenbeck,Alec,Schierenbeck,https://www.nyc.gov/site/charter/contact/contact-charter.page,,false,true
NYC_GOID_000425,Active,Advisory or Regulatory Organization,Special Commissioner of Investigation for the New York City School District,SCI,"New York City School District, Special Commissioner of Investigation for the",https://nycsci.org/,,,Special Commissioner,Anastasia Coleman,Anastasia,Coleman,https://nycsci.org/contact-us/,,false,false
NYC_GOID_000100,Active,Public Benefit or Development Organization,City University Construction Fund,CUCF,City University Construction Fund,https://www.cuny.edu/about/administration/offices/fpcm/cucf/,,,Executive Director,Mohamed Attalla,Mohamed,Attalla,,First Deputy Mayor,false,false
NYC_GOID_000205,Active,Advisory or Regulatory Organization,Green Economy Advisory Council,,Green Economy Advisory Council,https://edc.nyc/press-release/nycedc-announces-new-york-citys-first-ever-green-economy-advisory-council,,,,,,,,,false,false
NYC_GOID_000277,Active,Mayoral Office,Mayor's Office of Special Enforcement,OSE,"Special Enforcement, Mayor's Office of",https://www.nyc.gov/site/specialenforcement/index.page,,AJC,Executive Director,Christian J. Klossner,Christian,Klossner,https://www.nyc.gov/site/specialenforcement/about/contact-us.page,First Deputy Mayor,false,true
NYC_GOID_000233,Active,Advisory or Regulatory Organization,Juvenile Justice Advisory Board,,Juvenile Justice Advisory Board,https://www.nyc.gov/site/acs/about/data-analysis.page,,,,,,,,,false,false
NYC_GOID_000047,Active,Mayoral Office,Center for Innovation through Data Intelligence,CIDI,Center for Innovation through Data Intelligence,https://www.nyc.gov/site/cidi/index.page,,,Executive Director,Maryanne Schretzman,Maryanne,Schretzman,https://www.nyc.gov/site/cidi/contact/contact.page,First Deputy Mayor,true,true
NYC_GOID_000028,Active,Elected Office,Office of the Borough President of Manhattan,,"Borough President, Manhattan",https://www.manhattanbp.nyc.gov/,,,Manhattan Borough President,Brad Hoylman-Sigal,Brad,Hoylman-Sigal,https://www.manhattanbp.nyc.gov/connect/,,true,true
NYC_GOID_000089,Active,Nonprofit Organization,Staten Island Museum,,"Museum, Staten Island",https://www.statenislandmuseum.org/,,,President & Chief Executive Officer,Janice Monger,Janice,Monger,,,false,false
NYC_GOID_000074,Active,Nonprofit Organization,Museum of Jewish Heritage,,"Jewish Heritage, Museum of",https://mjhnyc.org/,,,President & CEO,Jack Kliger,Jack,Kliger,,,false,false
NYC_GOID_000262,Active,Mayoral Office,Mayor's Office of Climate and Environmental Justice,MOCEJ,"Climate and Environmental Justice, Mayor's Office of",https://climate.cityofnewyork.us/,,,Chief Climate Officer,Louise Yeung,Louise,Yeung,https://climate.cityofnewyork.us/contact-us/,Deputy Mayor for Operations,true,true
NYC_GOID_000096,Active,Advisory or Regulatory Organization,City Commission on Human Rights,CCHR,City Commission on Human Rights,https://www.nyc.gov/site/cchr/index.page,,,Chair and Commissioner,Christine Clarke,Christine,Clarke,https://www.nyc.gov/site/cchr/about/email-the-commissioner.page,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000328,Active,Division,NYC Service,,NYC Service,https://www.nycservice.org/,,,Chief Service Officer,Laura Rog,Laura,Rog,https://www.nycservice.org/contact,Mayor's Office of Mass Engagement,true,true
NYC_GOID_000464,Active,Nonprofit Organization,National September 11 Memorial and Museum,,National September 11 Memorial and Museum,https://www.911memorial.org/,World Trade Center Memorial Foundation;9/11 Memorial & Museum,,President and CEO,Elizabeth L. Hillman,Elizabeth,Hillman,,,false,false
NYC_GOID_000271,Active,Mayoral Office,Mayor's Office of Media and Entertainment,MOME,"Media and Entertainment, Mayor's Office of",https://www.nyc.gov/site/mome/index.page,,,Commissioner,Rafael Espinal,Rafael,Espinal,https://www.nyc.gov/site/mome/about/email-the-commissioner.page,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000343,Active,Advisory or Regulatory Organization,New York City Office of the Actuary,NYCOA,"Actuary, New York City Office of the",https://www.nyc.gov/site/actuary/index.page,,,Chief Actuary,Marek Tyszkiewicz,Marek,Tyszkiewicz,https://www1.nyc.gov/site/actuary/contactus/email-the-office.page,,false,true
NYC_GOID_000081,Active,Nonprofit Organization,MoMA PS1,MOMA PS1,PS 1 Contemporary Art Center,https://www.momaps1.org/,PS 1 Contemporary Art Center,,The Agnes Gund Director,Connie Butler,Connie,Butler,,,false,false
NYC_GOID_100012,Active,Division,Office of Information Privacy,OIP,"Information Privacy, Office of",https://www.nyc.gov/content/oti/pages/meet-the-team/information-privacy,,MOIP,Chief Privacy Officer,Michael Fitzpatrick,Michael,Fitzpatrick,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,Office of Technology and Innovation,true,true
NYC_GOID_000269,Active,Mayoral Office,Mayor's Office of Food Policy,MOFP,"Food Policy, Mayor's Office of",https://www.nyc.gov/site/foodpolicy/index.page,,,Executive Director,Kate MacKenzie,Kate,MacKenzie,https://www.nyc.gov/site/foodpolicy/about/contact.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000298,Active,Mayoral Office,Mayor's Office of the Utility Consumer Advocate,,"Utility Consumer Advocate, Mayor's Office of the",https://www.nyc.gov/content/climate/pages/utility-consumer-advocate,,,,,,,,,false,true
NYC_GOID_100029,Active,Mayoral Office,Office Conversion Accelerator,,Office Conversion Accelerator,https://www.nyc.gov/site/officeconversions/index.page,,,,,,,https://www.nyc.gov/site/officeconversions/contact/contact.page,,false,true
NYC_GOID_000377,Active,Mayoral Agency,Office of Payroll Administration,OPA,"Payroll Administration, Office of",https://www.nyc.gov/site/opa/index.page,,,Executive Director,Neil Matthew,Neil,Matthew,https://www.nyc.gov/site/opa/about/email-the-office.page,Office of the Mayor;Office of the New York City Comptroller,true,true
NYC_GOID_000351,Active,Mayoral Office,Mayor's Office for Childcare and Early Childhood Education,OCCECE,"Child Care and Early Childhood Education, Mayor's Office for",https://www.nyc.gov/site/childcare/index.page,,,Executive Director,Emmy Liss,Emmy,Liss,https://www.nyc.gov/site/childcare/contact/contact-us.page,First Deputy Mayor,true,true
NYC_GOID_000070,Active,Nonprofit Organization,Jazz at Lincoln Center,,Jazz at Lincoln Center,https://www.jazz.org/,,,Managing and Artistic Director,Wynton Marsalis,Wynton,Marsalis,,,false,false
NYC_GOID_000103,Active,Advisory or Regulatory Organization,Civil Service Commission,CSC,Civil Service Commission,https://www.nyc.gov/site/csc/index.page,,,Executive Director and General Counsel,Amanda M. Wismans,Amanda,Wismans,https://www.nyc.gov/site/csc/about/send-a-message-to-chair.page,,false,true
NYC_GOID_000092,Active,Nonprofit Organization,Wave Hill,,Wave Hill,https://www.wavehill.org/,,,President & Executive Director,Ray B. Oladapo-Johnson,Ray,Oladapo-Johnson,,,false,false
NYC_GOID_100010,Active,Division,Cyber Command,,Cyber Command,https://www.nyc.gov/content/oti/pages/meet-the-team/cyber-command,NYC Cyber Command,NYC3,Chief Information Security Officer,Kelly Moan,Kelly,Moan,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,Office of Technology and Innovation,true,true
NYC_GOID_000181,Active,Public Benefit or Development Organization,Educational Construction Fund,ECF,Educational Construction Fund,https://infohub.nyced.org/reports/financial/educational-construction-fund,,,Chief Executive Officer,Jennifer Maldonado,Jennifer,Maldonado,,,false,false
NYC_GOID_000025,Active,Advisory or Regulatory Organization,Board of Standards and Appeals,BSA,"Standards and Appeals, Board of",https://www.nyc.gov/site/bsa/index.page,,,Executive Director,Carlo Costanza,Carlo,Costanza,https://www.nyc.gov/site/bsa/contact-bsa/contact-the-bsa.page,,false,true
NYC_GOID_100002,Active,Division,Office of the Special Narcotics Prosecutor,,"Special Narcotics Prosecutor, Office of the",https://www.snpnyc.org/,,,Special Narcotics Prosecutor,Bridget G. Brennan,Bridget,Brennan,,Bronx County District Attorney's Office;Brooklyn District Attorney's Office;Manhattan District Attorney's Office;Queens District Attorney's Office;Office of the District Attorney Richmond County,true,true
NYC_GOID_000315,Active,Mayoral Agency,New York City Emergency Management,NYCEM,"Emergency Management, New York City",https://www.nyc.gov/site/em/index.page,NYC Emergency Management;Office of Emergency Management,OEM,Commissioner,Christina Farrell,Christina,Farrell,https://www.nyc.gov/site/em/contact/email-the-commissioner.page,Deputy Mayor for Operations,true,true
NYC_GOID_000198,Active,Nonprofit Organization,Fund for Public Schools,,Fund for Public Schools,https://www.fundforpublicschools.org/,,,Chief Executive Officer,Stephen Cockrell,Stephen,Cockrell,,,false,false
NYC_GOID_000267,Active,Mayoral Office,Mayor's Office of Equity and Racial Justice,MOERJ,"Equity and Racial Justice, Mayor's Office of",https://www.nyc.gov/site/equity/index.page,Mayor's Office of Equity,MOE,Chief Equity Officer & Commissioner,Afua Atta-Mensah,Afua,Atta-Mensah,https://www.nyc.gov/site/equity/contact/contact.page,Deputy Mayor for Strategic Initiatives,true,true
NYC_GOID_000268,Active,Mayoral Office,Mayor's Office of Ethnic and Community Media,MOECM,"Ethnic and Community Media, Mayor's Office of",https://www.nyc.gov/site/ethnicmedia/index.page,,,Executive Director,,,,https://www.nyc.gov/site/ethnicmedia/contact/contact.page,Mayor's Office of Mass Engagement,true,true
NYC_GOID_000387,Active,Advisory or Regulatory Organization,Panel on Educational Policy,PEP,Panel on Educational Policy,https://www.schools.nyc.gov/about-us/leadership/panel-for-education-policy,,,,,,,,,false,false
NYC_GOID_000257,Active,Mayoral Office,Mayor's Office for Nonprofit Services,MONS,"Nonprofit Services, Mayor's Office for",https://www.nyc.gov/site/nonprofits/index.page,Office of not-for-profit organization services;Mayor's Office of Nonprofits,,Executive Director,Michael Sedillo,Michael,Sedillo,https://www.nyc.gov/site/nonprofits/contact/contact.page,Deputy Mayor for Operations,true,true
