Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website
Public Interest Technology University Network (PIT-UN),Advocacy,"Research,Training","Federal,State,City","Network of 63 universities co-convened by New America, Ford Foundation, and Hewlett Foundation. $16M+ deployed to 154 projects building the PIT field through curriculum, faculty research, and experiential learning.",Philanthropy,"Ford Foundation, Hewlett Foundation, Mastercard, McGovern, Raikes, Schmidt Futures, Siegel",newamerica.org/pit/university-network
Recoding America Fund,Advocacy,"Philanthropy,Digital Services & Consulting","Federal,State","$120M 6-year pooled philanthropic initiative grantmaking for government workforce, digital infrastructure, and procedural reform. Chaired by Jennifer Pahlka.",Philanthropy,Pooled fund; inaugural donors not yet fully public,recodingamerica.fund
Results for America,Advocacy,Research,"State,City",Helps government use evidence and data. Runs What Works Cities and States certifications promoting performance management and evidence-based policymaking.,Philanthropy,"Bloomberg Philanthropies, Arnold Ventures",results4america.org
Special Competitive Studies Project (SCSP): AI Expo / Talent Initiatives,Advocacy,Research,Federal,"Eric Schmidt-founded initiative (2022) focused on maintaining U.S. technological competitiveness in AI and advanced technology vis-a-vis strategic competitors. Produces policy recommendations, convenes government and industry leaders, and hosts the annual AI Expo for National Competitiveness in DC. Not a fellowship program - included for its role in shaping AI talent policy and government-technology workforce discussions.",Philanthropy,Eric Schmidt-affiliated funding,scsp.ai
Tech Talent Project,Advocacy,"Training,Fellowships","Federal,State,City",Bridges technologists and government hiring. Co-runs TELI executive training with Aspen Policy Academy. Improves government tech recruitment practices.,Philanthropy,Philanthropic grants,techtalentproject.org
BetaNYC,Community,,City,"NYC's civic tech, open data, and open government community (est. 2013). Co-hosts NYC Open Data Week and NYC School of Data (600+ attendees). Builds tools like Boundaries Map. Partners with NYC Office of Technology & Innovation. ACT founding member.",Volunteer,Small grants; NYC OTI partnership; volunteer-driven,beta.nyc
Chi Hack Night,Community,,City,"Chicago's weekly civic tech meetup (est. 2012). In-person and online hack nights featuring speakers from government, nonprofits, and tech. Spawned projects like mRelief (food stamps access). Elected board; ACT founding member.",Volunteer,Small grants; sponsor support; volunteer-driven,chihacknight.org
Civic Tech Atlanta,Community,,City,"Atlanta civic tech group hosting monthly hack nights. Provides data support to community organizations (e.g., Sanctuary Food Pantry). Active project lifecycle pipeline. ACT founding member.",Volunteer,Volunteer-driven,civictechatlanta.org
Civic Tech DC,Community,,City,Washington DC volunteer civic hacking group. Hosted Civic Hack DC 2025 (80 participants) focused on open-source tools for Regulations.gov public comment analysis. ACT member.,Volunteer,Volunteer-driven; venue sponsors (Taoti Creative),civictechdc.org
Code for Boston,Community,,City,Boston-area civic innovation group. Semi-weekly hybrid hack nights at Cambridge Innovation Center. Building MAPLE (Massachusetts Platform for Legislative Engagement) enabling residents to submit legislative testimony. ACT founding member.,Volunteer,Volunteer-driven; small grants,codeforboston.org
Code for BTV,Community,,City,"Burlington, VT civic tech group hosting biweekly 'Action Nights' (fmr. Hack Night). ACT founding member.",Volunteer,Volunteer-driven,codeforbtv.org
Code for Charlottesville,Community,,City,"Charlottesville, VA civic tech group working with local nonprofits and government agencies on pro bono tech projects. Active GitHub presence through 2025 (Virginia Schools AI policy analysis, native plants DB, Meals on Wheels portal). UVA and PVCC student involvement. ACT member.",Volunteer,Volunteer-driven,codeforcville.org
Code for Dayton,Community,,City,Dayton civic tech group with monthly meetings. Projects include Florence Nightingale Museum website and demolition permit monitoring for Preservation Dayton. ACT founding member.,Volunteer,Volunteer-driven,codefordayton.org
Code for Philly,Community,,City,Philadelphia civic tech community. Building Clean & Green Philly (toolkit for reducing gun violence via vacant lot greening) and Phlask (map of free water/food/bathrooms). Benefit Decision Toolkit for eligibility screeners. ACT founding member.,Volunteer,Volunteer-driven,codeforphilly.org
Code with the Carolinas,Community,,State,Carolinas civic tech community. Active through 2024 on Open Sidewalks (sidewalk accessibility mapping) and Zoning Atlas projects. Completed transition from Code for America Brigade Network in 2023. Fiscally sponsored through Open Collective. ACT member.,Volunteer,Volunteer-driven,opencollective.com/code-with-the-carolinas
ELGL (Engaging Local Government Leaders),Community,Training,"State,City","501(c)(3) connecting innovative local government leaders. 4,800+ members across all 50 states. Runs GovLove Podcast, Top Influencers awards, Analyst Academy, and Public Service Recognition Week. Key community for local gov professionals seeking peers.",Volunteer,Membership dues + sponsors + event revenue,elgl.org
Florida Community Innovation (FCI),Community,,State,Florida civic tech organization. Published organizational handbook (2025). Florida Resource Map project. AI Fellow program. ACT member.,Volunteer,Volunteer-driven; small grants,floridainnovation.org
GovLoop,Community,Training,"Federal,State,City","Online community of 300,000+ government professionals. Featured Contributor Program, NextGen Government Training Summit, and educational resources on modernization, AI, and workforce. Knowledge-sharing platform connecting public servants across levels.",Philanthropy,GovExec Media / Owned by Government Executive Media Group; sponsor-supported content,govloop.com
Hack for LA,Community,,City,"Los Angeles network of civic-minded technologists building digital products with community partners and local government. Global volunteer base (designers, developers, PMs). Maintains Civic Tech Index.",Volunteer,Volunteer-driven,hackforla.org
Open Austin,Community,,City,"Austin civic tech community hosting design community of practice, hack nights, and mixers. Sold-out 2025 Public Interest Tech Mixer (37 attendees, 40% people of color). ACT founding member.",Volunteer,Volunteer-driven,https://open-austin.odoo.com/
Open Sacramento,Community,,City,Sacramento civic tech group (recently rebranded with new website). Virtual community action nights. ACT member.,Volunteer,Volunteer-driven,opensacramento.org
Open Source San Jose,Community,,City,"San Jose civic tech collective (joined ACT 2025). Monthly hack nights. Building Tally Up app for CA Dept of Education meal distribution tracking. Open-source, community-driven innovation.",Volunteer,Volunteer-driven,opensourcesanjose.org
OpenOakland,Community,,City,Oakland civic tech group building tools for government transparency and community access. ACT member.,Volunteer,Volunteer-driven,openoakland.org
SF Civic Tech,Community,,City,"San Francisco civic tech community (fmr. Code for San Francisco, est. 2013). Weekly virtual hack nights. Building SafeHome earthquake risk dashboard. Independent 501(c)(3) since 2024. ACT founding member.",Volunteer,Volunteer-driven; independent nonprofit since 2024,sfcivictech.org
Technologists for the Public Good (TPG),Community,,"Federal,State,City","501(c)(6) professional association (est. 2020) for technologists working across government, nonprofits, academia, philanthropy, and civic tech. 134% membership growth in 2023. Runs networking events, tech and design conferences, mentorship programs, and the Tech to Gov Virtual Forum & Job Fair connecting senior technologists with government agencies. Joint statement with ACT on civic tech field direction (2025). Co-hosted State of GovTech 2025 with CivStart in Arlington. Members include government digital service alumni, current federal and state tech staff, and public interest tech practitioners.",Volunteer,Membership dues + event revenue + sponsorships,publicgood.tech
UChicago Civic Analytics Network (Harris School),Community,,"Federal,State,City",Network of chief data officers and analytics leaders in government. Research on data-driven governance and performance management.,"University,Philanthropy",UChicago + donor support,harris.uchicago.edu
AAAS S&T Policy Fellowships,Fellowships,,Federal,"1-2 year fellowships placing scientists and engineers in federal agencies and Congress. Expanded AI tracks. 3,500+ alumni since 1973.",Government,AAAS membership + agency sponsorship,aaas.org/stpf
Bloomberg Harvard City Hall Fellows,Fellowships,,City,"Places emerging leaders (recent graduates + mid-career) in city halls to work on data, innovation, and performance management. Fellows embedded in mayor's offices working on priority challenges. Distinct from the City Leadership Initiative exec education.",Philanthropy,Bloomberg Philanthropies,bloombergcities.jhu.edu
California Capital Fellows Program,Fellowships,,State,"Four fellowships (Assembly, Senate, Executive, Judicial) placing 64 fellows/year at highest levels of CA state government for 10-11 months. Fellows assist legislators, senior executive staff, and court administrators on policy. Nationally recognized.",Government,CA state general fund,csus.edu/center/center-california-studies/capital-fellows
CITP Technology Fellows (Princeton),Fellowships,Research,"State,City","Non-resident fellowship connecting experienced gov technologists to state/local regulatory challenges in AI governance, data privacy, and cybersecurity.",University,Princeton endowment (CITP),citp.princeton.edu
CivicSpark (AmeriCorps),Fellowships,,"State,City","11-month AmeriCorps fellowship placing ~150 fellows/year in local governments and community orgs for capacity building on climate, housing, water, transportation, public health. 1,000+ alumni since 2014. Expanding beyond CA/CO/WA to all states starting 2025.","Government,Philanthropy","AmeriCorps federal funding + local agency cost-share ($37,500/fellow)",civicsparkfellowship.org
Coding it Forward Fellowship,Fellowships,,"Federal,State,City","10-week paid summer placement of early-career technologists in federal, state, and local government. Five tracks: data, design, product, software, cybersecurity. 700+ alumni.",Philanthropy,"Ford Foundation, Siegel Family Endowment, McGovern Foundation, Pivotal Ventures",codingitforward.com
Cornell Tech PiTech Initiative,Fellowships,Research,"Federal,State,City","PhD Impact Fellowships, Visiting Practitioner's Program, and PiTech Impact Studio for graduate students working on public interest technology.",University,Cornell Tech endowment,tech.cornell.edu/pitech
Coro Fellows Program in Public Affairs,Fellowships,Training,"Federal,State,City","7-9 month full-time experiential leadership program. Fellows rotate through placements in government, nonprofit, business, and labor. 80+ year track record. 15,000+ alumni including US Senators and elected officials. Programs in LA, SF, NYC, Pittsburgh, St. Louis.",Philanthropy,Philanthropic + earned revenue,corofellowship.org
DC Capital City Fellows Program (CCFP),Fellowships,,City,"18-month mayoral initiative placing recent masters graduates in DC government agencies. Three 6-month rotations across government operations, health/human services, public safety, planning, or education. Entry salary ~$62K.",Government,DC government budget,dc.gov/capitalcityfellows
FUSE Corps,Fellowships,Training,"State,City",1-year executive fellowship placing experienced professionals in city/county agencies for strategic projects. 250+ projects across 42 cities/18 states.,Philanthropy,"Ford Foundation, Hewlett Foundation, Chan Zuckerberg Initiative, Irvine Foundation",fuse.org
Georgetown Beeck Center Innovation + Incubation Fellowship,Fellowships,Research,"Federal,State,City","12-24 month fellowship for senior subject matter experts in data, design, technology, and policy. Fellows publish research, document best practices, and push the field forward. Current fellow focused on AI + public interest technology. Expanding to more states in 2026.","University,Philanthropy",Georgetown + philanthropic partners,beeckcenter.georgetown.edu/projects/innovation-incubation-fellowship
Georgetown McCourt Tech & Policy Visiting Fellows,Fellowships,Research,"Federal,State,City","Semester-long visiting fellowship for tech policy practitioners at Georgetown McCourt School. Multiple USDS alumni and former federal tech officials in inaugural 2025 cohort. Fellows write policy essays, mentor students, and conduct research.",University,Georgetown University,mccourt.georgetown.edu/tech-and-public-policy
Govern for America (GFA),Fellowships,Research,State,Two-year paid fellowship placing recent graduates in high-impact state/local government roles. Published AI x Talent research for states.,Philanthropy,"Microsoft, Public Interest Tech Fund (Ford/Siegel/McGovern/Pivotal)",govforamerica.org
Harvard Ash Center Democracy Fellowships,Fellowships,Research,"Federal,State,City","Financial support for doctoral and postdoctoral researchers studying democratic governance, innovation in government, and civic technology. Part of the Ash Center's Program on Democratic Governance.","University,Philanthropy",Ford Foundation endowment + Harvard,ash.harvard.edu
Horizon Institute for Public Service,Fellowships,Training,"Federal,State,City",Training and fellowships for scientists and technologists entering government service.,Philanthropy,Philanthropic grants,horizoninstitute.org
Judicial Innovation Fellowship (Georgetown),Fellowships,Research,"State,City","1-year fellowship placing technologists, designers, and user testers in state, local, tribal, and territorial courts to build data infrastructure, simplify processes, and improve access to justice. Inaugural cohort 2023-24. Incubated at Georgetown Law's Institute for Technology Law & Policy.",Philanthropy,State Justice Institute (SJI) grants + Georgetown,law.georgetown.edu/tech-institute/programs-and-initiatives/georgetown-justice-lab/judicial-innovation
Media Democracy Fund Fellowships,Fellowships,,"Federal,State,City",Technology Exchange (12+ months at civil society orgs) and PhDX Fellowship (PhD students at DC policy orgs). Focused on public interest technology and media policy.,Philanthropy,Media Democracy Fund,mediademocracyfund.org
NobleReach Scholars (NobleReach Foundation),Fellowships,,"Federal,State,City","1-2 year fully compensated fellowship placing early-career technologists (AI, cybersecurity, business process innovation) in federal, state, and local government roles. Launched 2024; 19 scholars in inaugural cohort, 28 in 2025 cohort (selected from 1,200+ applicants). Expanded in April 2025 to include state and local government placements alongside federal. NobleReach named founding partner of OPM's U.S. Tech Force (Dec 2025). $400M+ endowment (proceeds from divestiture of LMI Consulting). Strong national security framing but meaningful state capacity placements - 2025 cohort placed at Oklahoma City, Pittsburgh, Miami-Dade Innovation Authority, Maryland DoIT, and Montgomery County PA AI Council.",Philanthropy,$400M+ endowment from LMI Consulting divestiture; fellows receive full salary + $15K stipend,noblereach.org
Paragon Policy Fellowship,Fellowships,,"Federal,State,City",Connects university students and recent graduates with technology policy and digital governance work.,Philanthropy,Philanthropic grants,paragonpolicyfellowship.org
S&T Impact: State Legislative Futures Forum,Fellowships,Training,State,Partnership with TechCongress to extend tech policy fellowship model to state legislatures. Inaugural State Legislative Futures Forum held in DC 2025. Trains technologists on state-level policymaking.,Philanthropy,Philanthropic grants,stimpact.org
TechCongress,Fellowships,,Federal,1-year fellowship placing technologists as policy advisors in Congressional offices and committees. Bipartisan placements.,Philanthropy,"Hewlett Foundation, Omidyar Network, Ford Foundation",techcongress.io
xD (U.S. Census Bureau),Fellowships,,Federal,"Emerging technology fellowship for mid-career technologists at Census Bureau focused on AI/ML, data engineering, and emerging tech.",Government,Commerce Dept. appropriations,xd.gov
18F (GSA),Government,,Federal,"Eliminated March 2025. Was GSA internal consultancy providing agile development, procurement consulting, user research, and open-source tooling to federal agencies. Open-source resources redeployed externally by alumni.",Government,Was cost-recoverable within GSA,18f.gsa.gov (archived)
Arizona Strategic Enterprise Technology Office (ADOA-ASET),Government,,State,"Statewide IT strategy and digital services division within the Arizona Department of Administration, led by State CIO J.R. Sloan. Closed 90 on-premises data centers via a cloud-first policy, migrated 2,900+ applications, and increased online services available to Arizonans by 250% in two years. Operates a dedicated Office of Digital Solutions managing 200+ state agency websites and enterprise applications including Business One Stop. Earned A- overall and first place in resilience on the 2024 Center for Digital Government Digital States Survey.",Government,AZ state general fund; Web Portal Fund; ADOA automation operations fund,aset.az.gov
Arlington County Digital Innovation,Government,,City,"County digital innovation division with 7+ year AI program. Operates virtual assistant 'Ava', enterprise data warehouse, and open-source ML tools.",Government,County budget,arlingtonva.us
ARPA-H,Government,Research,Federal,"Funds high-risk, high-reward health research via ARPA model: empowered program managers, milestone-based funding, other transaction authority. ~$1.5B annual budget.",Government,Congressional appropriations (HHS); multi-year carry-over,arpa-h.gov
Austin Office of Design & Delivery,Government,,City,"Municipal digital services team providing service design, user research, content strategy, and digital forms for city services.",Government,City budget,austintexas.gov
BIA Indigenous Connectivity and Technology Division,Government,,"Federal,Tribal","Division within the Bureau of Indian Affairs Office of Trust Services providing technical assistance to Tribal Nations on broadband, electromagnetic spectrum leasing, wireless services, and digital capacity on tribal lands. Established 2022-2023 to give Tribal Nations a formal seat in national connectivity policy development and support their sovereignty over digital resources and telecommunications infrastructure. Coordinates with FCC, NTIA, and Commerce Dept on tribal broadband priorities. Administers tribal components of the National Spectrum Strategy Implementation Plan. Note: created under the Biden administration; archived content as of Jan 20, 2025 - current operational status under review.",Government,Interior Dept. appropriations; BIA budget,bia.gov/bia/ots/ict
Boston Department of Innovation and Technology (DoIT),Government,,City,"City of Boston's enterprise technology organization serving 18,000+ city employees and hundreds of thousands of constituents. In May 2025 the Boston City Council codified DoIT into city law, granting it formal authority over citywide technology procurement, cybersecurity, and data governance. Manages BOS:311, digital services delivery, the Wicked Free Wi-Fi program, and a Digital Equity Fund. ~150 employees under Mayor Michelle Wu's Innovation and Technology Cabinet.",Government,City of Boston budget; federal digital equity grants (MBI Partnership Grant),boston.gov/government/cabinets/innovation-and-technology
California Office of Data & Innovation (ODI),Government,Training,State,"Statewide digital services team delivering user research, content design, data analytics, and plain language guidance across CA state agencies.",Government,State general fund,innovation.ca.gov
Chicago Department of Technology and Innovation (DTI),Government,,City,New citywide technology department established under Mayor Brandon Johnson (est. late 2023) - a deliberate rethinking of Chicago's IT approach. CIO/Commissioner Nick Lucius confirmed by City Council 48-0 in May 2024. Lucius previously served as Chicago's chief data officer and CTO. Maintains the Chicago Design System and coordinates technology across all city departments under a unified strategy focused on reducing operational complexity and improving resident-facing digital service delivery.,Government,City of Chicago budget appropriations,chicago.gov/city/en/depts/dti.html
City and County of Denver - Peak Academy & Technology Services,Government,Training,City,"Denver leads in two distinct dimensions of city capacity. Denver Peak Academy (within the Budget & Management Office) has trained 11,000+ Denver employees and participants from 350+ governments in lean process improvement since 2012, saving the city $75M+. Alongside it, the Office of Information Technology (OIT) drives digital modernization including an Automation Center of Excellence that won Colorado Technology Association's 2024 Apex Project of the Year and saved $2.9M and 54,000 staff hours. OIT recently created separate CDO and CISO roles under CIO Suma Nallapati.",Government,City and County of Denver general fund,denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Finance/Our-Divisions/Budget-and-Management-Office/Peak-Performance
CODE PA,Government,,State,"State digital delivery team (~50 staff) created 2023 under Gov. Shapiro. Delivers human-centered design, accessibility, and digital service improvements across PA agencies.",Government,State general fund,code.pa.gov
Colorado Digital Service,Government,,State,"State digital team founded by USDS alumni. Enterprise approach to modernizing resident experience using agile, user research, and product management.",Government,State general fund,colorado.gov/digitalservice
Georgia Office of Artificial Intelligence,Government,,State,Dedicated state AI office. Published AI Roadmap and Governance Framework. $15M additional for cybersecurity/AI. Cloud-first initiative with AI integration.,Government,State fund + $15M additional appropriation,gta.georgia.gov
"Gilbert, AZ Office of Digital Government",Government,,City,"City digital government office delivering social media strategy, open data, civic engagement, and digital innovation. Nationally recognized.",Government,City budget,gilbertaz.gov
Illinois Department of Innovation & Technology (DoIT),Government,,State,"State enterprise IT agency created by statute in 2018, serving 36 client agencies directly and 90+ government entities statewide including high-speed broadband to 610 school districts. Led by State CIO/Secretary Sanjay Gupta (former USDOJ and SBA CIO; Senate-confirmed 2024). Key 2024-25 initiatives include enterprise AI governance, benefits modernization for SNAP and Medicaid, digital driver's licenses via Apple Wallet, and a new Central Computing Facility replacing 1970s-era legacy data center infrastructure.",Government,IL state general fund,doit.illinois.gov
InnovateOhio Platform (Ohio Office of Information Technology),Government,,State,"Ohio's enterprise digital modernization initiative within the Department of Administrative Services' Office of Information Technology, led by State CIO Katrina Flory (GovTech Top 25 2024). Delivers OH|ID statewide single sign-on (used by nearly half of all Ohioans), data analytics, fraud detection, and a new content management system across hundreds of agency websites and apps. Added digital driver's licenses to Apple Wallet in 2024. Received NASCIO State IT Recognition Award for cybersecurity excellence in 2025.",Government,OH state general fund,innovation.ohio.gov
"Lebanon, NH",Government,,City,"Small city with dedicated Chief Innovation & AI Officer. AI policy, procurement, training. Serves on NH AI Task Force.",Government,City budget,lebanonnh.gov
Los Angeles Information Technology Agency (ITA),Government,,City,"City of LA's enterprise technology department - 442 IT professionals across 18 divisions delivering 366 services on a $90M annual operating budget. Led by General Manager and CIO Ted Ross. Ranked #1 Digital City nationally in 2023 and #2 in 2024 by the Center for Digital Government. Published Los Angeles A.I. Roadmap (June 2024) and 2024-2025 Strategic Plan focused on digital transformation, AI governance, and smart city infrastructure for the 2026 World Cup, 2027 Super Bowl, and 2028 Olympics.",Government,City of LA general fund; operating + capital budget appropriations,ita.lacity.gov
Maryland Digital Service & Office of AI Enablement,Government,,State,"Digital service and AI delivery arm of the Maryland Department of Information Technology (DoIT) operating under Gov. Wes Moore's executive modernization mandate. Launched a bilingual AI chatbot (Claude Sonnet) serving 600K+ residents for SUN Bucks food benefits. Co-leading a landmark multi-agency AI partnership with Anthropic and Percepta - backed by Rockefeller Foundation - to modernize benefits delivery, environmental permitting, and housing access. Published 2025 AI Enablement Strategy and AI Study Roadmap covering 12 critical domains.",Government,MD state general fund; Anthropic/Percepta partnership; Rockefeller Foundation support,doit.maryland.gov
Massachusetts Digital Service (Mass Digital),Government,,State,State digital service team within the Executive Office of Technology Services & Security (EOTSS). Implements the Commonwealth Digital Roadmap - a multi-year plan for accessible people-centered digital experiences across all MA agencies. Built MyMassGov single sign-on (1.5M+ users) and the 'Ask MA' multilingual chatbot (700K+ monthly users); announced deployment of ChatGPT to all 40K executive branch employees in 2026. Authorized by Gov. Healey's FutureTech Act of 2024 ($110M bond authorization). Ranked #1 in the nation by the Center for Digital Government's GovX Awards in 2024.,Government,MA state general fund + $110M FutureTech Act bond authorization,mass.gov/orgs/massachusetts-digital-service
Minnesota IT Services (MNIT),Government,,State,"Enterprise IT agency for Minnesota's executive branch serving 70+ agencies, 375+ partners, and 87 counties. Active transformation program: launched LoginMN (centralized single sign-on), hired the state's first AI Director, deployed $13.1M through the Technology Modernization Fund in 2024, and migrated 50%+ of servers to cloud. Published 2024 and 2025 annual impact reports documenting 33+ new or enhanced self-service tools. The Technology Advisory Council (TAC) provides cross-sector governance guidance on AI, customer experience, and product-driven IT delivery.",Government,State IT enterprise fund (chargeback model) + MN general fund appropriations,mn.gov/mnit
New Hampshire Department of Information Technology (DoIT),Government,,State,Centralized state IT agency led by Commissioner/CIO Denis Goulet (NASCIO Decade of Leadership Award 2025; NASCIO President 2020) - one of the few CIOs to serve across three governors. Redesigned all state websites and apps for constituent usability; launched a statewide business portal; built the VINI vaccine registration system during COVID-19; and launched '.Gov In a Box' providing funding and contractor support to help local governments migrate to .gov domains. Pursuing whole-of-state cybersecurity and agile/MVP methodologies with agency partners.,Government,NH state general fund + federal SLCGP cybersecurity grants,nh.gov/doit
New Jersey Office of Innovation,Government,Training,State,"State innovation office (~50+ staff) building digital products (Business.NJ.gov, NJ AI Assistant) and providing product management, human-centered design, and data science to NJ agencies.",Government,State general fund,innovation.nj.gov
New York State (ITS),Government,,State,NY Office of Information Technology Services. Among 17+ states with official digital service teams per Beeck Center. Partnership with InnovateUS rolling out AI to 100K+ city employees.,Government,State general fund,its.ny.gov
NYC Office of Technology and Innovation (OTI),Government,,City,"New York City's consolidated technology agency formed in 2022 by merging DoITT, the Mayor's Office of the CTO, NYC Cyber Command, the Mayor's Office of Data Analytics, and the Mayor's Office of Information Privacy. Led by CTO Lisa Gelobter (2026). Employs ~1,200 staff with an operating budget of ~$350M and capital budget of ~$1B. Administers NYC311 (175+ languages), leads the MyCity resident portal, manages the city's open data program (2,000+ datasets), and coordinates digital equity and broadband expansion.",Government,NYC city budget (operating + capital appropriations),nyc.gov/content/oti/pages
OPM Data Science Fellows,Government,Fellowships,Federal,"New cross-agency fellowship launched Dec 2025 by OPM to fill critical data science skills gaps in federal agencies. Part of OPM's suite of new technology talent programs replacing the terminated Presidential Management Fellows program. Fellows are hired by and onboarded at individual agencies, with OPM providing central administration and skills-based assessment. Initial pilot cohorts launching spring 2026.",Government,Federal agency appropriations; centrally administered by OPM,opm.gov
OPM Project Management Fellows,Government,Fellowships,Federal,"New cross-agency fellowship launched Dec 2025 by OPM to fill longstanding project management skills gaps. Part of OPM's suite of new technology talent programs replacing the terminated Presidential Management Fellows program. Fellows hired at individual agencies; OPM provides central administration, assessment, and oversight. Initial pilot cohorts launching spring 2026.",Government,Federal agency appropriations; centrally administered by OPM,opm.gov
Philadelphia Digital Services,Government,,City,"City digital team providing UX research, content strategy, and digital form development using USWDS.",Government,City budget,phila.gov
Portland Digital Services (BTS),Government,,City,Digital services team delivering human-centered design and plain language improvements. Won 2025 USDR Innovation in Constraints award.,Government,City budget,portland.gov/digital-services
Presidential Innovation Fellows (PIF),Government,Fellowships,Federal,"Embeds mid-to-senior technologists (GS-15) in federal agencies for 12-month tours providing product management, AI strategy, design, and engineering advisory. 260+ alumni.",Government,GSA/TTS appropriations,presidentialinnovationfellows.gov
San Francisco Digital and Data Services (DDS),Government,,City,"Human-centered digital service team within the City Administrator's office. Manages SF.gov - the unified city web platform with 80+ departments migrated - applying equitable design standards, plain language requirements, and the City's Language Access Ordinance. Launched an Emerging Technologies team in November 2024 that piloted ChatGPT Enterprise with OpenAI and deployed Microsoft Copilot Chat to 30,000 city staff, establishing SF as a national leader in public sector AI adoption.",Government,City and County of San Francisco budget; COIT Major IT Project Allocation,sf.gov/departments--city-administrator--digital-and-data-services
San Jose Innovation & IT,Government,Research,City,"City innovation team running data governance, AI strategy development, and employee upskilling. Leads GovAI coalition.",Government,City budget + Knight Foundation partnership,sanjoseca.gov
Seattle Information Technology (Seattle IT),Government,,City,"City of Seattle's enterprise technology department led by CTO Rob Lloyd (appointed 2024). Employs 633+ staff with an operating budget of ~$280M. Published 2025-2027 Strategic Plan anchoring technology to public safety, housing, health, and economic opportunity. Launched Eproval (modern permitting platform), the One Seattle Data Strategy (city's first comprehensive data governance plan), and CiviformX (one-stop portal for affordability programs). Longstanding digital equity program including Technology Matching Fund grants spanning 30+ years.",Government,City of Seattle general fund + capital budget,seattle.gov/tech
U.S. Digital Corps,Government,Fellowships,Federal,"Two-year early-career federal fellowship in software engineering, data science, product, design, and cybersecurity. 150+ fellows; 95% convert to career positions.",Government,GSA/TTS appropriations,digitalcorps.gsa.gov
